Week,Commodity,Trend,Text,RefinedTrend
weekly_02_2025_Eng.txt,coconut,Unknown,Pulses King Coconut 160.00− 180.00 164.44 166.36 96.67 -1.15 70.11,Stable
weekly_02_2025_Eng.txt,fish,Unknown,Cowpea (White) 500.00−620.00574.29580.00 -0.99 Sea Fish,Stable
weekly_02_2025_Eng.txt,dhal,Unknown,Red Dhal 270.00−280.00276.00277.14295.83 -0.41 -6.70Hurulla 800.00− 950.00 851.82 829.23671.11 2.72 26.93,Stable
weekly_02_2025_Eng.txt,vegetable,Unknown,Vegetable Balaya 650.00− 750.00 716.25 757.86881.00 -5.49 -18.70,Stable
weekly_02_2025_Eng.txt,egg,Unknown,Raddish 80.00−140.00114.00112.00 98.00 1.79 16.33Eggs,Stable
weekly_02_2025_Eng.txt,fish,Unknown,Ladies Fingers 100.00−150.00122.00108.00248.00 12.96 -50.81Dried Fish,Stable
weekly_02_2025_Eng.txt,potato,Unknown,Sweet Potato 120.00−150.00134.44128.00112.00 5.03 20.04Maduwa (Imported) −,Stable
weekly_02_2025_Eng.txt,vegetable,Unknown,Leafy Vegetable Koduwa (Imported) −,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Table 14: Colombo: Wholesale Prices (Rs/kg or Rs/piece),Stable
weekly_02_2025_Eng.txt,rice,Unknown,Average Price Change Compared to,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Average Price,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Rice Coconut,Stable
weekly_02_2025_Eng.txt,fruit,Unknown,Keeri Samba 260.00− 280.00267.78 264.68368.00 3.10-27.23Fruits (Rs/fruit),Stable
weekly_02_2025_Eng.txt,fruit,Unknown,Raw (Red) − Passion Fruit 60.00− 90.00 74.50 71.43 121.54 3.07 -38.70,Stable
weekly_02_2025_Eng.txt,onion,Unknown,Onion Mango,Stable
weekly_02_2025_Eng.txt,onion,Unknown,Big Onion Kohu −,Stable
weekly_02_2025_Eng.txt,potato,Unknown,Potato Orange 100.00− 200.00149.29168.82 250.00 -19.54 -40.29,Stable
weekly_02_2025_Eng.txt,coconut,Unknown,Pulses King Coconut 180.00− 230.00195.91197.93 145.20 -2.02 34.92,Stable
weekly_02_2025_Eng.txt,fish,Unknown,Cowpea (White) 700.00− 900.00824.35 828.501237.04 -4.15-33.36Sea Fish,Stable
